method,pearson_delta,mae_delta,discrimination_score_l1,overlap_at_50,de_direction_match,de_spearman_lfc_sig
Context Mean,0.3974853276823913,0.0347710937951757,0.5021225286989796,0.0547122509943765,0.7427313992704766,0.4408990922587185
Linear (GenePT),0.4203481050769499,0.0342944021332576,0.5521464445153061,0.0735390452017416,0.7631204502653236,0.3924061002202541
Linear (One-hot),0.3986008969576297,0.0349372447152355,0.5021474410076531,0.055206723111621,0.7420678428490559,0.4404872638683884
scVI,0.167339871592828,0.4350749272853136,0.5009466677295918,0.0124422086456971,0.5131716527237449,0.0283611504850364
CPA,0.3045592147931789,0.0361998458746321,0.5021175462372449,0.0285100516082427,0.6523837914043973,0.3057120352557902
STATE,0.1893748257242823,0.0640086748104185,0.5065748681802174,0.0221431438238578,0.6303800447660769,0.2016090971420893
scGPT,0.0797454084718733,0.0692620299440542,0.5030990911989796,0.0108185760539449,0.5321599869506978,0.034322402257885
Geneformer,0.3947358124753349,0.034945480548883,0.5021944913575613,0.0,0.7400332800535141,0.4389240161854543
GEARS,0.3040287263311378,0.2947906120408811,0.5132116069094492,0.0107109535962885,0.4374801385245495,-0.193462311896086
MORPH,0.3091308034069592,0.0411737161529386,0.6303249917931366,0.0144823304616021,0.6975012317922752,0.2978905833493611
TxPert,0.486106299791034,0.0332274312892669,0.5908725291077641,0.098103522928905,0.8060910485110976,0.5197831482614993
AdaPert,0.5002722815932046,0.0326961491636998,0.598961370628808,0.1099462192996315,0.8127406555822652,0.5175364892430329
