method,pearson_delta,mae_delta,discrimination_score_l1,overlap_at_50,de_direction_match,de_spearman_lfc_sig
Context Mean,0.3866981290458866,0.0266148194581653,0.5030276816608996,0.1333088235294117,0.7418722920042403,0.5240613526420733
Linear (GenePT),0.4629057819273678,0.0251520910635864,0.5584450692041523,0.1839705882352941,0.7836053701234544,0.5695333435454186
Linear (One-hot),0.3885781433611341,0.0263790999135166,0.5027979022491349,0.1336764705882353,0.7420978959559794,0.526552411498709
scVI,0.1710765780769768,0.3012235153685598,0.5020274653979239,0.0713970588235294,0.5768615157399454,0.3270704687662049
CPA,0.2877050097398323,0.0275875044651055,0.5027843858131488,0.1155147058823529,0.6454230489535798,0.3603464681986685
State,0.2468186029967482,0.0412211645367171,0.505690419550173,0.0441911764705882,0.6430930022505262,0.2977170770801074
scGPT,0.0792057441345498,0.056710171568043,0.5031898788927336,0.0154411764705882,0.5282968721833442,0.065714586977564
GEARS,0.297489673447083,0.1395784312420908,0.5182336721453288,0.1226470588235294,0.6034117572399369,0.3761064213554209
Morph,0.4415352995941088,0.0292379902000361,0.6641804090670708,0.0569465648854961,0.7572649757479133,0.4478920397682751
TxPert,0.5878747691646876,0.0228673552868285,0.6970561202422146,0.2425735294117647,0.8502339082324472,0.6551674843785668
AdaPert,0.6199762656709508,0.0219912411583423,0.7013813797577856,0.2606617647058823,0.8662658381754015,0.674520382532454
