method,PearsonDelta_pert_all,PearsonDelta20_pert,PearsonDelta_ctrl_all,PearsonDelta20_ctrl,n_conditions,centroid_accuracy
adapert,0.39427305066620344,0.3834669320986889,0.4694239352041695,0.6072446333829262,496.0,0.6849421635711959
txpert,0.35912994328655035,0.342229343231564,0.4502144412991363,0.5805260290206221,496.0,0.6698150863473443
morph,0.2836415600570546,0.33408031200049554,0.3464440968111968,0.5139426399930178,384.0,0.6804626305483028
linear,0.22621626873903067,0.23879706242483112,0.4006308547461263,0.5252632386187142,497.0,0.5756312065944051
gears,0.14884832060385142,0.24322653664511792,0.23464382695677974,0.440014864352042,496.0,0.5964565004887585
scgpt,0.06232606513611304,0.12659202613855244,0.3397233005727815,0.49459696415362553,497.0,0.5089894203933276
state,0.01936086143889394,-0.004507298181576542,0.2474566695415293,0.43227025642286726,497.0,0.5009046212760433
scvi,0.013246913585493366,-0.039892544772010506,-0.0025452860858599193,0.2074281839769484,497.0,0.5044987667943143
linear-onehot,0.00031649759498713064,0.007745300063216551,0.3854006001522822,0.5016899352365891,497.0,0.5
cpa,-0.08713226078743436,0.07526552535045193,0.3639537343594005,0.48672767397391553,497.0,0.5086486661906925
matching-mean,-0.1300789276768254,0.09343289951105913,0.38502578280464483,0.5003845310768543,497.0,0.5
