method,PearsonDelta_pert_all,PearsonDelta20_pert,PearsonDelta_ctrl_all,PearsonDelta20_ctrl,n_conditions,centroid_accuracy
adapert,0.34497766143074915,0.37963015642277786,0.5002736164443689,0.6527387901858994,446.0,0.6866629717337632
txpert,0.31286780207236553,0.3286420804538418,0.48610770739039716,0.6372867123168897,446.0,0.6748475840177357
morph,0.2662103712557365,0.2886266926300457,0.3091317180908131,0.49796006753598954,398.0,0.6763287470096072
linear,0.18413387375219697,0.2238970582581015,0.4203066782885981,0.5711059447403735,448.0,0.5639880952380952
cpa,0.1017836124673488,-0.13912652369491982,0.29946712216953925,0.428327927855912,448.0,0.5050135826142538
matching-mean,0.09417771875790701,-0.1866267478716985,0.3974868870849177,0.5330958349917246,448.0,0.5
scgpt,0.08574425267529218,-0.044585745965637046,0.1877967282669755,0.3804578316392488,448.0,0.510826142537552
gears,0.044783970008331855,0.18718348557685555,0.2992863913716501,0.48527340844610595,446.0,0.5680505869904771
scvi,0.04166980550645164,-0.07289916990491993,-0.13322937012041322,-0.07600514678988632,448.0,0.5031509667625439
state,0.009381367016581018,-0.10392058252125623,0.17575008863327293,0.3404780920780765,448.0,0.49544582933844683
linear-onehot,0.0033775052137514985,-0.0026670011492720977,0.398602457386775,0.5366509405123118,448.0,0.5
