method,PearsonDelta_pert_all,PearsonDelta20_pert,PearsonDelta_ctrl_all,PearsonDelta20_ctrl,n_conditions,centroid_accuracy
adapert,0.5337973338863555,0.5986955214072388,0.6184151292448758,0.737495716552223,272.0,0.8104650531799436
txpert,0.4825031754664439,0.5495727437751259,0.5864803451960959,0.7046047878899703,272.0,0.7792625352724115
morph,0.3623778450254205,0.4419158919987992,0.4408262796473018,0.6268634808118907,262.0,0.7291538709016994
linear,0.2842439180192114,0.3027068605692937,0.461417097207861,0.5865720305057966,272.0,0.6203331886260038
scgpt,0.0735,0.0409,0.3354,0.5302,272.0,0.5203
scvi,0.0425810817151321,-0.1199913207938298,-0.118760504091294,-0.1189043645244494,272.0,0.5002441936184068
gears,0.036434315401146,0.3374837749986324,0.2396323649671126,0.5449400168503019,272.0,0.5551063598871283
cpa,0.0305842675515624,-0.1478072274114744,0.271312373596247,0.3855375351766461,272.0,0.5012752333405688
linear-onehot,0.0009126969916964,-0.1237342969072601,0.3869975522112778,0.5466596093197975,272.0,0.5
state,-0.0539385525268473,0.0692263760827065,0.2208013250607436,0.3746357638872082,272.0,0.4889705882352941
matching-mean,-0.1189900600547443,0.1869813923493276,0.3865479137050798,0.5400565473893008,272.0,0.5
nonctl-mean,-0.1189900600547443,0.1869813923493276,0.3865479137050798,0.5400565473893009,272.0,0.5
