method,PearsonDelta_pert_all,PearsonDelta20_pert,PearsonDelta_ctrl_all,PearsonDelta20_ctrl,n_conditions,centroid_accuracy
adapert,0.7825887103516658,0.7329973477188881,0.5090518746330844,0.6843755031386463,1087.0,0.6884577655567811
state,0.7183562971923335,0.6578757754094426,0.3766243780938099,0.5952683014054755,1092.0,0.621738634112603
linear-onehot,0.6946748787880084,0.6519093145504017,0.41023051984998493,0.6158711057422912,1092.0,0.5030443891580464
cpa,0.689525039748106,0.5816796661756489,0.35774543833628014,0.5303894346942308,1092.0,0.5275925571525938
linear,0.6816738253597032,0.6663563450248192,0.48393640501565405,0.6510773901378741,1092.0,0.5761978626323264
gears,0.6547594675570896,0.5303798181566225,0.2539808778654099,0.434013412701766,1087.0,0.4994468361228719
scvi,0.3678334314207834,0.5374338749551186,0.045654372897734205,0.40012747345212185,1092.0,0.5698010361163433
morph,0.3631326711752856,0.017932562566216986,-0.09825782131700977,-0.3552512514419673,1052.0,0.5007145105331514
matching-mean,0.13186892264741612,-0.3887270768145748,0.052848656107791304,0.07249798165491415,1092.0,0.5
scgpt,0.0474685150773908,0.13802333935287903,0.19786912863452877,0.4869694469101963,1087.0,0.5225230033155948
