method,PearsonDelta_pert_all,PearsonDelta20_pert,PearsonDelta_ctrl_all,PearsonDelta20_ctrl,n_conditions,centroid_accuracy
adapert,0.3785606496119635,0.33959501910482665,0.6664536042676862,0.7433568029312507,461.0,0.6911157219654814
txpert,0.35712522781025885,0.27085861865295513,0.6544545734574527,0.7296769905451946,461.0,0.6538621144958974
morph,0.3277050384726693,0.36465906024988115,0.5409497822929081,0.6784220278400507,405.0,0.697677545532331
linear,0.22867077293187543,0.19772611047241065,0.6332216946612083,0.7150256960684369,464.0,0.5653627020183213
gears,0.12098277735507354,0.16132583881387633,0.36345692164409116,0.5894158614560417,461.0,0.5508063755540885
matching-mean,0.08358700310637183,-0.15361053748360232,0.6288361314782279,0.7122419396146726,464.0,0.5
cpa,0.07314072739251637,-0.146496637671311,0.470128401770911,0.6765397810455944,464.0,0.5022436136143591
scgpt,0.0701142279827084,-0.10914010989960597,0.5076788523375219,0.5656364749464335,464.0,0.5043243092276757
scvi,0.01144331983627808,-0.03870854956470773,0.18454404633072477,0.3943789799234464,461.0,0.5018956898990852
linear-onehot,-0.0015300001826369833,-0.012162035516139733,0.6301655290477679,0.7092542010736407,464.0,0.5
state,-0.04380137570189227,0.09542932844583844,0.5834407992978317,0.6927073416643039,461.0,0.4988776761293973
