deg_group,n,model,metric,mean,median,std,sem,q25,q75
<5%,92,AdaPert,pearson_delta,0.4688892731766986,0.501361608505249,0.22625881643867396,0.02358911226747867,0.2965868338942527,0.6642764061689377
<5%,92,AdaPert,discrimination_score_l1,0.7218670076726342,0.7977941176470589,0.25370921932372054,0.02645101460408173,0.520220588235294,0.942095588235294
<5%,92,AdaPert,discrimination_score_l2,0.7929187979539641,0.8970588235294118,0.22228133683773005,0.023174431353271276,0.635110294117647,0.9705882352941176
<5%,92,AdaPert,discrimination_score_cosine,0.6958519820971867,0.8511029411764706,0.3049365143366593,0.03179182930575765,0.42922794117647056,0.9375
<5%,92,w/o non-DEG loss,pearson_delta,0.447511439697574,0.4699122905731201,0.2248387579870133,0.023441060939491262,0.2905566692352295,0.6322144269943237
<5%,92,w/o non-DEG loss,discrimination_score_l1,0.722666240409207,0.7941176470588236,0.2489123410355672,0.02595090547130303,0.5854779411764706,0.9329044117647058
<5%,92,w/o non-DEG loss,discrimination_score_l2,0.7900815217391306,0.8713235294117647,0.21466615570980388,0.022380493837857268,0.6553308823529411,0.9678308823529411
<5%,92,w/o non-DEG loss,discrimination_score_cosine,0.670196611253197,0.7977941176470589,0.313087416102077,0.03264161955858407,0.4044117647058823,0.9310661764705883
<5%,92,w/o context,pearson_delta,0.45528413934390183,0.4937116950750351,0.23533600584448247,0.024535474682597293,0.3037296310067176,0.668892502784729
<5%,92,w/o context,discrimination_score_l1,0.7272218670076726,0.7977941176470589,0.25256608669733804,0.026331834789191894,0.5340073529411764,0.9375
<5%,92,w/o context,discrimination_score_l2,0.8018702046035804,0.8841911764705882,0.20430534092097816,0.02130030422543433,0.6911764705882353,0.9613970588235294
<5%,92,w/o context,discrimination_score_cosine,0.6814657928388747,0.8272058823529411,0.31247532200448114,0.032577804337530075,0.453125,0.9375
5-10%,80,AdaPert,pearson_delta,0.611444909311831,0.6916401088237762,0.24037273122608188,0.026874488347940272,0.48089731484651566,0.7965938895940781
5-10%,80,AdaPert,discrimination_score_l1,0.704641544117647,0.755514705882353,0.27327860907065,0.0305534773339282,0.4990808823529412,0.964154411764706
5-10%,80,AdaPert,discrimination_score_l2,0.7553308823529411,0.8915441176470589,0.26553508588939817,0.029687725122996975,0.5579044117647058,0.9825367647058824
5-10%,80,AdaPert,discrimination_score_cosine,0.8351102941176471,0.9540441176470589,0.2307514621794888,0.025798797767040436,0.7619485294117647,0.9825367647058824
5-10%,80,w/o non-DEG loss,pearson_delta,0.6074344652239233,0.6802924871444702,0.22991413062167365,0.025705181252891413,0.4811040908098221,0.7959672957658768
5-10%,80,w/o non-DEG loss,discrimination_score_l1,0.7085018382352941,0.7922794117647058,0.27339331406037953,0.030566301741647883,0.4954044117647059,0.9705882352941176
5-10%,80,w/o non-DEG loss,discrimination_score_l2,0.76015625,0.8897058823529411,0.26464592204136467,0.029588313582630064,0.5431985294117647,0.9852941176470588
5-10%,80,w/o non-DEG loss,discrimination_score_cosine,0.8323988970588235,0.9448529411764706,0.24390012264669272,0.02726886269792704,0.8253676470588235,0.9788602941176471
5-10%,80,w/o context,pearson_delta,0.6103021261747926,0.6916797757148743,0.24905457866051509,0.02784514839962401,0.4361433535814285,0.8135453164577484
5-10%,80,w/o context,discrimination_score_l1,0.7146599264705882,0.78125,0.2683562101260194,0.030003136401299837,0.5027573529411764,0.9678308823529411
5-10%,80,w/o context,discrimination_score_l2,0.7629595588235294,0.8933823529411765,0.26398030715592813,0.02951389557609647,0.5395220588235294,0.9852941176470588
5-10%,80,w/o context,discrimination_score_cosine,0.8227941176470587,0.9466911764705882,0.24847631467416306,0.027780496520502854,0.7325367647058824,0.9889705882352942
>10%,100,AdaPert,pearson_delta,0.7658013838529587,0.846847653388977,0.20424431566268364,0.020424431566268365,0.6966957747936249,0.8993265926837921
>10%,100,AdaPert,discrimination_score_l1,0.6799264705882352,0.7536764705882353,0.3261076155982449,0.032610761559824494,0.4117647058823529,0.9889705882352942
>10%,100,AdaPert,discrimination_score_l2,0.7218749999999998,0.9246323529411765,0.32867254718508093,0.03286725471850809,0.4522058823529411,0.9926470588235294
>10%,100,AdaPert,discrimination_score_cosine,0.9179411764705883,0.9889705882352942,0.18835609263593836,0.018835609263593837,0.9522058823529412,0.9963235294117648
>10%,100,w/o non-DEG loss,pearson_delta,0.7574644514918327,0.8475989401340485,0.21337449587691062,0.021337449587691064,0.692915067076683,0.9014393389225005
>10%,100,w/o non-DEG loss,discrimination_score_l1,0.6536029411764708,0.6856617647058822,0.3327543187945922,0.03327543187945922,0.37959558823529405,0.9825367647058824
>10%,100,w/o non-DEG loss,discrimination_score_l2,0.685845588235294,0.8363970588235294,0.33401557356338524,0.033401557356338527,0.3933823529411765,0.989889705882353
>10%,100,w/o non-DEG loss,discrimination_score_cosine,0.916029411764706,0.9889705882352942,0.19168122611112912,0.019168122611112913,0.947610294117647,0.9963235294117648
>10%,100,w/o context,pearson_delta,0.7302976519055665,0.8099733889102936,0.23143676934750887,0.023143676934750886,0.6199269890785217,0.9067523330450059
>10%,100,w/o context,discrimination_score_l1,0.6386764705882353,0.6709558823529411,0.34257341630576105,0.0342573416305761,0.349264705882353,0.9889705882352942
>10%,100,w/o context,discrimination_score_l2,0.6731249999999999,0.8161764705882353,0.3446229673004674,0.034462296730046735,0.31801470588235287,0.9926470588235294
>10%,100,w/o context,discrimination_score_cosine,0.9109191176470587,0.9871323529411764,0.16906423938392245,0.016906423938392246,0.9255514705882353,0.9963235294117648
