method,pearson_delta,mae_delta,discrimination_score_l1,overlap_at_50,de_direction_match,de_spearman_lfc_sig
Context Mean,0.3850253217355151,0.0346672802571379,0.5021153075394015,0.1088466418788949,0.7382186055386093,0.5042919591453949
Linear (GenePT),0.4003559758453827,0.0332446680713437,0.5713395058479651,0.1089748408327768,0.7466793400236464,0.4773421277902722
Linear (One-hot),0.3854000664726499,0.034491489630125,0.5020707747490982,0.107879510119619,0.7391049312156889,0.5051927489445712
scVI,0.3396686140777659,0.0933286464385223,0.4993664198470501,0.115692178826583,0.7032881627384323,0.4778315195638629
CPA,0.3620844243086829,0.0375827315340279,0.506936994198592,0.1172936654735887,0.7252361685022597,0.4753006390997479
State,0.2469999286548111,0.0439021667347749,0.5107538588087289,0.0296141817891296,0.6182912552818162,0.2257697110347305
scGPT,0.063996206114998,0.0712653649933411,0.5022489059103109,0.0188828900671778,0.5294011418924444,0.0896926536615438
GEARS,0.257940775341159,0.2529470732796096,0.5096457140998959,0.0131930856791094,0.3234140401284342,-0.1385447891721936
Morph,0.3464436303377927,0.0387321091111516,0.6522284613715277,0.0452430990902308,0.6982666013957549,0.3533916552354448
TxPert,0.4502139264021084,0.031621333320565,0.6015706295525495,0.1271870529215394,0.7901847400956159,0.5473397113112984
AdaPert,0.4694234988222184,0.0314167829459503,0.6158461238293446,0.1230352972289599,0.8022371794251199,0.5617193241502247
