method,pearson_delta,mae_delta,discrimination_score_l1,overlap_at_50,de_direction_match,de_spearman_lfc_sig
Context Mean,0.6288357243365368,0.0387235418291248,0.5018811310939357,0.220301724137931,0.843433642485821,0.706074222017959
Linear (GenePT),0.6333571977889294,0.0371530389650082,0.5563874851367421,0.2023706896551724,0.8433438468609783,0.6760326015579039
Linear (One-hot),0.6301651341350878,0.0384680014264223,0.5021226590368608,0.2276724137931035,0.8431253380030184,0.7043383471346507
scVI,0.3692797256710408,0.4772066834045336,0.5009999011862357,0.0364859002169197,0.6471721104228327,0.4717017372913477
CPA,0.4860515095602624,0.0428000470976634,0.5033628121284186,0.2078448275862069,0.7029025218792182,0.6586205666182295
State,0.58321429513912,0.0427410651216538,0.5195627726201174,0.213882863340564,0.8052146984204804,0.6431368898162845
scGPT,0.0440496816806663,0.0841455147481234,0.5016535374554102,0.0069827586206896,0.5084143909797594,0.0314870592305711
GEARS,0.3963130121836499,0.2035889501911699,0.5235106177742435,0.0101084598698481,0.4714941837063934,-0.0887682706224468
Morph,0.5409495289862892,0.042413202309866,0.6884804145709497,0.0900740740740741,0.7728381255714037,0.5437174009064426
TxPert,0.6544543627938437,0.0357426787522538,0.6177366001477501,0.2415618221258134,0.8602392994924442,0.7144291870252841
AdaPert,0.6756411651351414,0.0346393519204408,0.6445574790256021,0.2438177874186551,0.867407269478941,0.7230098856960624
